,Признак,коэффициент Спирмана,feature importance
98,L_rgb_r_min,-0.05021593124257847,0.26686468773903893
166,S_sobel_8u_full_mode,-0.05020113473113523,0.19402194992070004
297,I_hsv_s_Q15,-0.04932452281753718,0.2553783621534525
89,S_hsv_full_Q45,-0.049209078633617655,0.23147486745619716
321,L_hsv_h_Q75,0.04881155507044928,0.1639904269595388
41,ALAS_hsv_h_std,0.04861248722281186,0.3701515572837278
143,I_laplacian_r_Q20,-0.04860108634493018,0.32650650856412455
158,I_sobelx2_full_mode,-0.048244453026521965,0.3460343321621959
34,L_hsv_h_Q95,0.047768076570142724,0.32247746609970945
331,ALAS_sobelx2_b_std,0.0474620230487903,0.2498710703224402
398,I_yuv_u_min,0.047230950507507016,0.1381469223042965
22,L_hsv_h_Q85,0.04705217810483248,0.4084059756286467
73,ALAS_hsv_full_Q35,-0.0463335464851438,0.35270412857298955
272,L_hsv_h_Q80,0.04618901750584751,0.27000345503230294
420,S_sobely_r_mode,-0.04597352052542585,0.09146223896260515
268,S_sobelx_b_mode,-0.045859520462608425,0.17852607403187645
163,S_rgb_r_max,-0.04471309589833361,0.19684944640749294
131,L_sobelx_g_mode,-0.044564651092270605,0.24593891234402404
97,S_sobelx_g_mode,-0.04432975784696476,0.21359532237792292
203,L_hsv_v_mode,0.04359819002569253,0.21922083075417576
358,I_sobelx2_g_Q50,-0.043036856755289676,0.19380975568625514
317,S_sobel_8u_g_mode,-0.04288841690327433,0.2545622551261723
296,I_sobely_full_Q95,0.042225633755048994,0.15362165807279723
304,L_hsv_full_Q10,0.04180532621005502,0.14160960756422591
129,S_hsv_full_Q30,-0.041312924491148435,0.2955521571491863
253,I_sobely_r_Q95,-0.040475768321866654,0.3040910217553211
322,area_2_70_ellipse_0.65,-0.04033063530711361,0.25015214427068644
422,L_sobel_8u_full_mode,-0.039958582671665424,0.09024034633554219
293,L_hsv_h_Q90,0.038742470377583604,0.24258422307453378
221,I_hsv_full_max,-0.038073882536741495,0.2746276417907576
345,ALAS_sobely2_full_mode,-0.037797090540499685,0.14098895754763136
151,S_sobelx2_full_max,0.03761417628179808,0.2648484840682202
6,L_sobelx_b_mode,-0.03645471760083919,0.26459192869028136
237,S_yuv_u_Q30,0.03612864947485959,0.18607195172308627
379,ALAS_rgb_r_min,-0.0354846410713142,0.2901649395514538
319,I_sobelx2_r_Q95,0.03461008940605932,0.10526769970431775
311,I_sobelx2_b_mode,-0.03418860970112821,0.15773891167937876
29,I_sobelx2_r_mode,-0.03399016599910114,0.23852453956626038
218,S_rgb_g_Q95,0.033790251490354896,0.25522947681035674
375,ALAS_xyz_z_Q95,-0.03372253487737993,0.16953234125571615
392,S_hsv_s_mode,-0.03336193664908648,0.08727964338389109
260,L_hsv_h_Q15,0.03312149573605146,0.14859922687508886
82,S_hsv_s_Q70,0.032487330779969154,0.19679874593407506
87,ALAS_sobelx2_b_mode,-0.032425617290003136,0.2992233607356071
160,I_sobelx_r_mode,-0.032338255154188575,0.15054324469279254
323,ALAS_sobelx2_r_mode,-0.032259974205982984,0.1330662993647355
189,I_sobely_g_mode,-0.03185727978832916,0.20024980556608243
278,I_sobely_b_mode,-0.030876222046665673,0.14749405722692382
246,ALAS_sobelx_full_mode,-0.030695776958457825,0.2108731038255951
238,max_cr1,0.03044894477464403,0.21661035267801781
72,I_sobelx_b_mode,-0.030406490600504914,0.2336497296195037
165,area_2_90_ellipse_0.45,0.029768152104920245,0.18962554409802432
193,I_hsv_s_mode,-0.02946961961440516,0.11132220860603219
24,I_yuv_v_max,-0.02929297576318179,0.5638449778285528
171,S_sobelx_r_mode,-0.029187984899563483,0.21257795107124117
259,ALAS_sobely2_b_mode,-0.028724345082372406,0.16745366766106062
92,ALAS_sobely_b_mode,-0.028488550467023904,0.3373439415033663
256,haralick7,-0.028049278776953658,0.12820463116966957
78,S_sobel_8u_r_mode,-0.02788301535574139,0.19213525958364658
84,S_sobelx_r_max,-0.0276829567827754,0.21361766423993953
115,ALAS_sobelx_g_mode,-0.027439874736382146,0.21806468804371368
55,ALAS_sobely2_g_mode,-0.026950144453572338,0.18430190933181703
128,I_sobely_r_mode,-0.026924352874326776,0.2660098245010221
393,S_sobelx_full_mode,-0.02672996895445568,0.1771141196554081
142,ALAS_sobely_r_std,-0.026304848925494995,0.14333148316487182
168,ALAS_sobelx8u_b_std,-0.024883759829180296,0.16528994188235913
50,ALAS_sobely_g_mode,-0.02392264353551811,0.2970561376173932
48,area_0_10_ellipse_1.0,0.023724890629588418,0.32420310209090225
201,L_sobely_g_Q10,-0.02355765338318223,0.23277782831192317
136,ALAS_sobelx_b_mode,-0.022948520207222035,0.25043320489870546
388,ALAS_hsv_full_Q30,-0.022149004768264768,0.1512054770634586
399,I_hsv_s_Q60,-0.021050477797949243,0.13042344756074714
328,L_sobel_8u_r_mode,-0.020433558349694108,0.2021927185320892
391,I_rgb_g_Q20,0.020104802051070774,0.17855123578232182
355,ALAS_sobely2_r_std,-0.019376975681617524,0.13551130541290843
263,I_sobelx_g_mode,-0.018992804805091846,0.22428265017953725
353,L_sobelx2_full_mode,-0.01885058689944897,0.22616245303715063
276,ALAS_sobel_8u_r_mode,-0.018208166119841652,0.18531307732767358
68,I_sobel_8u_b_mode,-0.01818442487988313,0.2977802325484321
292,I_sobel_8u_g_mode,-0.018152954205659613,0.15819118807720353
110,L_yuv_full_max,-0.01793496628058923,0.2765781088797496
8,L_hsv_full_Q30,0.017430624348925866,0.4171633766167728
214,ALAS_sobelx_r_std,0.017026571479997154,0.09293591884923269
269,I_sobel_8u_r_mode,-0.016010900448488623,0.21686343375504377
363,S_yuv_u_Q10,0.014415316760140866,0.14907746597438476
36,haralick12,-0.013827609477458078,0.3189072461026452
280,L_sobelx2_g_mode,-0.013057842391539218,0.17261490003554902
164,S_yuv_u_Q15,0.012746981217443883,0.14588842535865287
390,S_hsv_v_max,-0.011770900376329345,0.18554384049724007
150,I_hsv_s_median,-0.010688734626504414,0.17383317549091706
325,S_hsv_full_Q5,-0.010614582299201657,0.1249601005316265
107,min_cr1,0.008656070900519943,0.1377358064205257
381,ALAS_hsv_h_Q75,0.00863084424750108,0.11600285656225967
372,area_2_90_circle_0.85,-0.0077825187320648866,0.1806903600003888
315,I_sobelx_r_Q95,0.007651937746687161,0.20164605663296775
257,L_rbg_full_max,-0.007635631160964327,0.17147036875831642
314,L_sobel_8u_g_mode,-0.0065376624615614875,0.1749458989270786
231,L_sobelx2_r_mode,-0.006255472241153448,0.1566328526403931
7,hu7,0.006250597180769735,0.7300653763918696
135,L_sobel_8u_b_mode,-0.005643947260630116,0.22611332802795114
206,ALAS_sobelx_full_Q95,0.0046083964276509345,0.22194046779731502
85,ALAS_sobel_8u_full_mode,0.004271452534133175,0.2852799787919095
383,ALAS_sobel_8u_g_mode,0.003992707563841853,0.1700495840437403
17,L_hsv_s_std,-0.003953154526839614,0.4762091685660614
340,S_yuv_full_Q5,-0.0028798102413300354,0.1459685552827167
295,ALAS_sobelx2_full_mode,-0.0028132361746487523,0.1600509419041446
86,ALAS_sobelx2_g_mode,0.002526763291073216,0.21435404927205506
186,L_sobel_8u_b_std,-0.002514513369656184,0.3082473100148184
212,ALAS_sobel_8u_b_mode,0.0018659784070735328,0.16770214924931298
63,S_sobelx_full_max,-0.001461598628365211,0.2910871450182823
23,S_yuv_v_max,-0.0007461294187148315,0.40503101381245826
178,area_2_90_hull_0.85,0.0007219631515130743,0.10613901996586836
245,S_yuv_u_std,-0.0002799578517500908,0.18909837267624122
